"","states_2015","Antrozous pallidus","Choeronycteris mexicana","Corynorhinus rafinesquii","Corynorhinus townsendii","Eptesicus fuscus","Euderma maculatum","Eumops floridanus","Eumops perotis","Eumops underwoodi","Idionycteris phyllotis","Lasionycteris noctivagans","Lasiurus borealis","Lasiurus cinereus","Lasiurus ega","Lasiurus frantzii","Lasiurus intermedius","Lasiurus seminolus","Lasiurus semotus","Lasiurus xanthinus","Leptonycteris nivalis","Leptonycteris yerbabuenae","Macrotus californicus","Molossus molossus","Mormoops megalophylla","Myotis auriculus","Myotis austroriparius","Myotis californicus","Myotis ciliolabrum","Myotis evotis","Myotis grisescens","Myotis leibii","Myotis lucifugus","Myotis occultus","Myotis septentrionalis","Myotis sodalis","Myotis thysanodes","Myotis velifer","Myotis volans","Myotis yumanensis","Nycticeius humeralis","Nyctinomops femorosaccus","Nyctinomops macrotis","Parastrellus hesperus","Perimyotis subflavus","Tadarida brasiliensis","text"
"18","Louisiana",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Corynorhinus rafinesquii, Eptesicus fuscus, Lasionycteris noctivagans, Myotis austroriparius, Myotis septentrionalis, Perimyotis subflavus"
"19","Maine",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Perimyotis subflavus"
"20","Maryland",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Lasiurus seminolus, Myotis austroriparius, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Nycticeius humeralis, Perimyotis subflavus"
"21","Massachusetts",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Perimyotis subflavus"
"22","Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,"Myotis lucifugus, Myotis septentrionalis, Myotis sodalis, Nycticeius humeralis, Perimyotis subflavus"
"23","Minnesota",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis lucifugus, Myotis septentrionalis, Perimyotis subflavus"
"24","Mississippi",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Corynorhinus rafinesquii, Lasionycteris noctivagans, Lasiurus cinereus, Lasiurus intermedius, Myotis austroriparius, Myotis grisescens, Myotis lucifugus, Myotis septentrionalis, Myotis sodalis"
"25","Missouri",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Corynorhinus rafinesquii, Lasionycteris noctivagans, Myotis austroriparius, Myotis grisescens, Myotis leibii, Myotis septentrionalis, Myotis sodalis"
"26","Nebraska",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,"Corynorhinus townsendii, Myotis lucifugus, Myotis septentrionalis, Myotis volans, Nycticeius humeralis, Perimyotis subflavus"
"27","Nevada",0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,"Corynorhinus townsendii, Euderma maculatum, Idionycteris phyllotis, Lasionycteris noctivagans, Lasiurus cinereus, Macrotus californicus, Myotis ciliolabrum, Myotis evotis, Myotis lucifugus, Myotis thysanodes, Myotis velifer, Tadarida brasiliensis"
"28","New Hampshire",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"Eptesicus fuscus, Lasionycteris noctivagans, Lasiurus borealis, Lasiurus cinereus, Myotis leibii, Myotis lucifugus, Myotis septentrionalis, Perimyotis subflavus"
